一目瞭然	一目了然
覆書	覆书
覆亂	覆乱
復于左轂	复于左毂
覆虧	覆亏
覆亡	覆亡
覆繖	覆伞
覆祐	覆佑
復作	复作
覆傾	覆倾
復光	复光
復免	复免
覆養	覆养
復再	复再
覆寫	覆写
覆軍	覆军
復分錢	复分钱
復制	复制
覆前戒後	覆前戒后
復卻	复却
覆壓	覆压
復又	复又
復反	复反
覆疊	覆叠
復名	复名
復吟	复吟
複𠴲	复𠴲
覆國	覆国
復圭	复圭
覆墜	覆坠
復塞	复塞
復境	复境
覆嫗	覆妪
復姓	复姓
復子	复子
複字	复字
復宇	复宇
覆實	覆实
覆審	覆审
復客	复客
複室	复室
復寢	复寝
複屋	复屋
複履	复履
複嶺	复岭
複嶂	复嶂
覆巢無完卵	覆巢无完卵
覆巢毀卵	覆巢毁卵
覆師	覆师
復席	复席
複㡓	复㡓
復性	复性
復怨	复怨
復折	复折
覆護	覆护
復故	复故
復方	复方
復時	复时
覆是為非	覆是为非
復服	复服
復本	复本
復朴	复朴
復査	复查
複棟	复栋
覆核	覆核
復格	复格
復梓	复梓
覆檢	覆检
復槽水	复槽水
復次	复次
復正	复正
覆潤	覆润
覆滅	覆灭
覆燾	覆焘
復照	复照
覆愛	覆爱
複版	复版
覆獄	覆狱
覆盎門	覆盎门
覆蓋率	覆盖率
復眞堂	复真堂
復示	复示
復社	复社
覆視	覆视
復種	复种
復租	复租
復穴	复穴
複穾	复穾
覆窟傾巢	覆窟倾巢
覆窠體	覆窠体
覆窠談	覆窠谈
複笮	复笮
覆簣	覆篑
複綫	复线
複結	复结
復罳	复罳
復胙	复胙
覆膜	覆膜
複舄	复舄
覆薦	覆荐
複藥	复药
覆蕩	覆荡
覆蔭	覆荫
復蜟	复蜟
複衣	复衣
復補	复补
複衫	复衫
複衾	复衾
複被	复被
複褌	复裈
複裙	复裙
覆觴	覆觞
復言	复言
覆訊	覆讯
覆講	覆讲
覆診	覆诊
覆誕	覆诞
複語	复语
覆誦	覆诵
覆諦	覆谛
復謝	复谢
複謚	复谥
復謵	复謵
覆讞	覆谳
覆敗	覆败
復資	复资
復賽	复赛
覆車	覆车
覆車繼軌	覆车继轨
覆載	覆载
復轍	复辙
覆過	覆过
復還	复还
覆迭	复迭
復道	复道
覆酒甕	覆酒瓮
覆醬	覆酱
覆醬燒薪	覆酱烧薪
覆問	覆问
覆閱	覆阅
復陽	复阳
覆陣	覆阵
復陂	复陂
復陂謠	复陂谣
複陳	复陈
復陶裘	复陶裘
復隍	复隍
複隱	复隐
復面	复面
復面拜門	复面拜门
覆顛	覆颠
復風之報	复风之报
覆驗	覆验
復魂	复魂
天翻地覆	天翻地覆
孰復	孰复
宂複	宂复
安復	安复
完復	完复
審覆	审覆
小復	小复
屡復	屡复
布復	布复
帕複	帕复
乾覆	干覆
歸復	归复
徑復	径复
循復	循复
戡復	戡复
打撃報復	打撃报复
批覆	批覆
抗傾覆	抗倾覆
報覆	报覆
拓復	拓复
擁覆	拥覆
持複	持复
捐復	捐复
政復	政复
故態復還	故态复还
斷覆	断覆
旋復	旋复
旋覆花	旋覆花
無復	无复
無平不陂，無往不復	无平不陂，无往不复
時復	时复
時復間	时复间
曲復	曲复
來復	来复
來復綫	来复线
來復螺紋	来复螺纹
柔復	柔复
梱復	梱复
檢覆	检覆
森復	森复
楚弓復得	楚弓复得
概復	概复
殲覆	歼覆
水則載舟，水則覆舟	水则载舟，水则覆舟
水能載舟，亦能覆舟	水能载舟，亦能覆舟
淪覆	沦覆
消復	消复
渠復	渠复
滅覆	灭覆
燾覆	焘覆
煽動顛覆國家政權	煽动颠覆国家政权
煽動顛覆國家罪	煽动颠覆国家罪
熟復	熟复
牽復	牵复
猥複	猥复
環復	环复
甄復	甄复
申復	申复
痊復	痊复
白虎復夷	白虎复夷
益復	益复
蓋覆	盖覆
盼覆	盼复
矯復	矫复
研復	研复
禽困覆車	禽困覆车
穿復	穿复
紘覆	纮覆
終復	终复
紹復	绍复
給復	给复
綜覆	综覆
翻覆	翻覆
翻天覆地	翻天覆地
翻手為雲，覆手為雨	翻手为云，覆手为雨
翻手為雲覆手變雨	翻手为云覆手变雨
翻來覆去	翻来覆去
老復丁	老复丁
聊復爾	聊复尔
肅覆	肃覆
腐殖覆蓋物	腐殖覆盖物
蘇復	苏复
蕩覆	荡覆
蔭覆	荫覆
蒙覆	蒙覆
雖復	虽复
蟬聯往復	蝉联往复`
蠲復	蠲复
補復	补复
袙複	袙复
袹複	袹复
裁復	裁复
褈複	褈复
要復	要复
計無復之	计无复之
議覆	议覆
訊覆	讯覆
講復	讲复
詳覆	详覆
敗覆	败覆
贅複	赘复
載覆	载覆
載舟覆舟	载舟覆舟
較覆	较覆
辯覆	辩覆
遷復	迁复
返來復去	返来复去
還復	还复
進復	进复
違覆	违覆
連復	连复
逕復	迳复
迷復	迷复
追復	追复
追復脯	追复脯
遺覆	遗覆
遝岡複嶺	遝冈复岭
遵復	遵复
避複	避复
酬復	酬复
重覆性	重复性
重山複嶺	重山复岭
重山複水	重山复水
重巒複嶂	重峦复嶂
重蹈覆轍	重蹈覆辙
銓覆	铨覆
銷復	销复
陽復	阳复
陰謀顛覆政府罪	阴谋颠覆政府罪
隕覆	陨覆
難收覆盆水	难收覆盆水
讎覆	雠覆
雨覆雲翻	雨覆云翻
雪復	雪复
非復	非复
顛覆份子	颠覆分子
顛覆國家罪	颠覆国家罪
顛覆政府罪	颠覆政府罪
顛覆罪	颠覆罪
馬復令	马复令
駢複	骈复
驗覆	验覆
鳥覆危巢	鸟覆危巢
鴻覆	鸿覆
緟複	𫟆复
